iter	RMSE
0	0.8778201153
1	0.8490194242
2	0.8206199111
3	0.7946120019
4	0.7681680571
5	0.7426525493
6	0.7187577353
7	0.6979743181
8	0.6774194963
9	0.6574611563
10	0.6377585578
11	0.6206864366
12	0.6059150425
13	0.5898175948
14	0.5752390549
15	0.5620831417
16	0.5490445793
17	0.5355380725
18	0.523309988
19	0.5120521306
20	0.5007099503
21	0.4908735838
22	0.4825274446
23	0.4742017009
24	0.4666691927
25	0.4591293747
26	0.4520177791
27	0.4452394295
28	0.438636072
29	0.4324304873
30	0.4266303763
31	0.4213891489
32	0.416467352
33	0.4116022386
34	0.4074484741
35	0.4031998734
36	0.3998815943
37	0.3964314632
38	0.3931955089
39	0.3900143114
40	0.3869573634
41	0.3840651011
42	0.3815607891
43	0.3791900153
44	0.3768883022
45	0.3748084937
46	0.3722866882
47	0.370427275
48	0.3684126597
49	0.3665649344
50	0.3648338674
51	0.3632448786
52	0.3616781762
53	0.3599570683
54	0.3584110178
55	0.3573406052
56	0.3562302487
57	0.3550081806
58	0.3536013292
59	0.3525439457
60	0.3516816862
61	0.3505455972
62	0.3497242072
63	0.3489841735
64	0.3487945129
65	0.3481791461
66	0.3473220811
67	0.3466233556
68	0.3458583422
69	0.3450875763
70	0.3438246837
71	0.3432784762
72	0.3423785489
73	0.3416581382
74	0.3411899251
75	0.3404230506
76	0.3395239438
77	0.3388911722
78	0.3380830787
79	0.3375404427
80	0.3370735976
81	0.3366452034
82	0.3356303112
83	0.3351079019
84	0.3345221416
85	0.3339314434
86	0.3337553353
87	0.3331932001
88	0.3327093515
89	0.3320230119
90	0.3318815619
91	0.3314612902
92	0.3312459068
93	0.3305316305
94	0.3301774934
95	0.3297370776
96	0.3295243538
97	0.3293087899
98	0.3286862667
99	0.3284271942
