iter	Passed	Remaining
0	3	364
1	8	415
2	11	372
3	16	386
4	20	390
5	24	388
6	31	415
7	33	387
8	38	392
9	43	395
10	48	392
11	50	372
12	53	356
13	58	356
14	62	353
15	66	349
16	70	346
17	75	342
18	79	338
19	83	335
20	87	330
21	92	327
22	95	319
23	99	315
24	101	305
25	106	302
26	110	298
27	115	295
28	119	291
29	123	288
30	127	284
31	131	280
32	136	276
33	140	272
34	144	268
35	148	264
36	151	257
37	155	253
38	159	250
39	163	245
40	168	241
41	172	237
42	176	233
43	181	230
44	185	226
45	189	222
46	193	218
47	197	213
48	201	209
49	205	205
50	209	201
51	214	197
52	218	193
53	222	189
54	227	185
55	231	181
56	235	177
57	239	173
58	244	169
59	248	165
60	253	161
61	257	157
62	261	153
63	266	149
64	267	144
65	271	139
66	275	135
67	280	131
68	284	127
69	288	123
70	292	119
71	297	115
72	301	111
73	305	107
74	309	103
75	314	99
76	318	95
77	322	90
78	326	86
79	330	82
80	335	78
81	339	74
82	343	70
83	347	66
84	352	62
85	356	58
86	358	53
87	362	49
88	367	45
89	371	41
90	375	37
91	379	33
92	384	28
93	388	24
94	392	20
95	396	16
96	400	12
97	405	8
98	409	4
99	413	0
